150,2001-08-10 00:00:00,115-12-9347
151,2001-08-10 00:00:00,444-13-7770
152,2001-08-10 00:00:00,446-70-1023
153,2001-08-10 00:00:00,553-47-3028
154,2001-08-10 00:00:00,556-10-2389
155,2001-08-10 00:00:00,455-57-9001
156,2001-08-11 00:00:00,123-84-7120
157,2001-08-11 00:00:00,223-74-9855
158,2001-08-12 00:00:00,556-10-2389
159,2001-08-12 00:00:00,556-70-1298
160,2001-08-13 00:00:00,342-58-3901
161,2001-08-13 00:00:00,445-88-0012
162,2001-08-15 00:00:00,446-06-7578
163,2001-08-18 00:00:00,448-83-2501
