115-12-9347,Lawrence,Saunders,,1019 Rambling Oaks,Norman,OK,73072,1,1
123-84-7120,Brenda,Cronan,,2347 N. Berry,Norman,OK,73069,1,1
223-74-9855,Jay,Cooprider,,1800 Willow Rock,Norman,OK,73072,1,1
341-12-3984,Karry,Lilland,,115 Joe Circle,Norman,OK,73071,1,0
342-58-3901,Fred,McFadden,,620 Asp Avenue,Norman,OK,73019,1,1
440-92-3880,Couch,Dusty,,13127 E. 15,Norman,OK,73071,1,0
444-13-7770,Berend,Wierenga,,3709 Calais Court,Norman,OK,73072,1,1
444-55-9999,Jeffrey,Hoffer,,551Wylie,Norman,OK,73072,0,1
445-33-8307,Leyland,Pitt,,1620 E. Lindsey Apt. K,Norman,OK,73071,0,1
445-88-0012,Hwa-Suk,Ryu,,907 Golden Eagle,Norman,OK,73072,1,0
446-06-7578,Gary,Knotts,,1075 Rambling Oaks,Norman,OK,70372,1,0
446-70-1023,John,Smith,,2020 E. Lindsey,Norman,OK,73071,1,1
448-81-4357,Jacob,Ide,Jr.,1116 E. Frank,Norman,OK,73069,0,1
448-83-2501,Ginger,Gilmartin-Smith,,1237 Cherry Creek,Norman,OK,73072,1,0
455-57-9001,Richard,Watson,,8427 Goddard Ave.,Norman,OK,73072,1,0
466-23-8470,Mary,Prescott,,3857 Terra Court,Norman,OK,73072,0,0
503-38-4751,Paget,Todd,,1520 E. Lindsey,Norman,OK,73071,1,0
553-47-3028,Roy,Cool,,1343 E. Boyd,Norman,OK,73069,1,0
553-78-9904,Chrissy,Watson,,4775  Tioga Circle,Norman,OK,73072,0,1
556-10-2389,Ajay,Vinze,,444 W. Main,Norman,OK,73072,1,0
556-70-1298,Maha,El-Shinnawy,,705 Constitution,Norman,OK,73019,1,0
556-71-2308,Lynne,Tompkins,,1300 Beverly Hills St.,Norman,OK,73072,0,1
578-99-1238,Marlene,Funkhauser,,4457 Brookhaven Dr.,Norman,OK,73072,1,1
578-99-1347,Al,Funkhauser,,4457 Brookhaven Dr.,Norman,OK,73072,1,0
712-03-9847,Smith,Fred,,4500 Saratoga,Norman,OK,73072,1,0
783-54-0233,Varn,Grover,,1075 Rambling Oaks,Norman,OK,73072,0,1
800-43-5283,Dorothy,Liedner,,1514 E. Lindsey Apt. G,Norman,OK,73071,1,0
896-12-3357,Albert,Segars,Sr.,604 Night Hawk,Norman,OK,73072,0,1
