1000,2001-08-05 00:00:00,115-12-9347
1001,2001-08-06 00:00:00,123-84-7120
1002,2001-08-06 00:00:00,896-12-3357
1003,2001-08-05 00:00:00,444-13-7770
1004,2001-08-04 00:00:00,445-33-8307
1005,2001-08-03 00:00:00,553-78-9904
1006,2001-08-05 00:00:00,446-70-1023
1007,2001-08-06 00:00:00,556-71-2308
1008,2001-08-05 00:00:00,444-13-7770
1009,2001-08-05 00:00:00,223-74-9855
1010,2001-08-07 00:00:00,578-99-1238
1011,2001-08-06 00:00:00,783-54-0233
1012,2001-08-02 00:00:00,444-55-9999
1013,2001-08-01 00:00:00,448-81-4357
1014,2001-08-02 00:00:00,342-58-3901
