115-12-9347,0-13-019474-2,150,1004
123-84-7120,0-234-27347-5,156,1008
223-74-9855,0-234-27347-5,157,1012
342-58-3901,0-13-528910-6,160,1009
342-58-3901,0-556-7987-4,160,1010
444-13-7770,0-8144-5639-1,151,1006
445-88-0012,1-3294-1234-7,161,1007
446-06-7578,1-556-02347-4,162,1014
446-70-1023,1-556-02347-4,152,1001
448-83-2501,1-5579-8888-0,163,1011
455-57-9001,1-85788-204-0,155,1003
553-47-3028,1-861003-66-8,153,1005
556-10-2389,0-13-019474-2,154,1002
556-10-2389,1-3294-1234-7,158,1013
556-70-1298,1-85788-204-0,159,1000
