115-12-9347,0-13-019474-2,50,2007-02-12 00:00:00,S
115-12-9347,0-13-528910-6,55,2007-03-13 00:00:00,R
123-84-7120,0-13-528910-6,60,2007-04-30 00:00:00,R
123-84-7120,0-234-27347-5,35,2007-04-30 00:00:00,S
223-74-9855,0-234-27347-5,50,2007-02-15 00:00:00,S
223-74-9855,0-324-11053-7,42,2007-02-15 00:00:00,R
341-12-3984,1-861003-66-8,65,2006-09-23 00:00:00,U
342-58-3901,0-13-528910-6,58,2007-02-23 00:00:00,S
342-58-3901,0-556-7987-4,35,2007-01-23 00:00:00,S
342-58-3901,1-861003-66-8,66,2007-02-22 00:00:00,R
440-92-3880,1-85788-204-0,20,2007-04-17 00:00:00,A
444-13-7770,0-324-11053-7,45,2007-04-12 00:00:00,A
444-13-7770,0-8144-5639-1,70,2007-04-12 00:00:00,S
444-13-7770,1-5579-8888-0,30,2007-02-11 00:00:00,R
444-13-7770,1-85788-204-0,20,2007-03-12 00:00:00,R
445-88-0012,1-3294-1234-7,33,2007-03-30 00:00:00,S
446-06-7578,1-556-02347-4,65,2007-03-29 00:00:00,S
446-70-1023,1-556-02347-4,60,2007-03-27 00:00:00,S
448-83-2501,1-5579-8888-0,25,2007-03-27 00:00:00,S
455-57-9001,1-85788-204-0,20,2007-03-26 00:00:00,S
503-38-4751,0-13-019474-2,45,2007-04-13 00:00:00,A
553-47-3028,1-861003-66-8,66,2007-03-12 00:00:00,S
556-10-2389,0-13-019474-2,55,2007-03-16 00:00:00,S
556-10-2389,1-3294-1234-7,35,2007-04-16 00:00:00,S
556-70-1298,1-85788-204-0,22,2007-03-10 00:00:00,S
578-99-1238,0-234-27347-5,50,2006-09-28 00:00:00,U
578-99-1347,0-234-27347-5,60,2006-06-02 00:00:00,U
712-03-9847,0-556-7987-4,33,2007-04-19 00:00:00,A
800-43-5283,0-13-528910-6,75,2006-03-16 00:00:00,U
